location,topics 
California,"['git', 'ruby', 'python', 'vim', 'ruby-on-rails', 'math']"
"Austin, TX, United States","['c#', '.net', 'vb.net', 'linq', 'javascript', 'generics']"
"Providence, RI","['html', 'css', 'php', 'javascript', 'codeigniter', 'jquery']"
"San Antonio, TX","['java', 'git', 'spring', 'hibernate', 'maven', 'jpa']"
"South Carolina, USA","['jquery', 'javascript', 'jquery-ui', 'jquery-ui-autocomplete', 'c#', 'autocomplete']"
"Tel Aviv, Israel","['python', 'android', 'sql', 'bash', 'json', 'algorithm']"
Silicon Valley,"['swift', 'ios', 'scenekit', 'objective-c', 'arkit', 'xcode']"
UK,"['r', 'ggplot2', 'dplyr', 'dataframe', 'plot', 'tidyverse']"
"Seattle, WA, USA","['c#', '.net', 'multithreading', 'async-await', 'asynchronous', 'asp.net']"
,"['matlab', 'machine-learning', 'plot', 'matrix', 'image-processing', 'c++']"
United States,"['ios', 'objective-c', 'iphone', 'cocoa-touch', 'xcode', 'swift']"
,"['python', 'c++', 'django', 'haskell', 'c', 'windows']"
,"['git', 'git-branch', 'branch', 'github', 'c++', 'python']"
,"['python', 'string', 'list', 'lxml', 'class', 'c++']"
"Berlin, Germany","['python', 'c', 'c++', 'svn', 'java', 'c#']"
"Bellevue, WA, United States","['c#', 'linq', '.net', 'entity-framework', 'list', 'sql']"
"New York, United States","['javascript', 'jquery', 'angularjs', 'html', 'css', 'twitter-bootstrap']"
"Brisbane QLD, Australia","['jquery', 'javascript', 'c#', 'elasticsearch', 'nest', 'asp.net']"
"Udaipur, Rajasthan, India","['azure', 'azure-blob-storage', 'azure-storage', 'c#', 'azure-table-storage', 'azure-cosmosdb']"
"London, United Kingdom","['git', 'postgresql', 'sql', 'database', 'java', 'json']"
Schweiz,"['objective-c', 'python', 'javascript', 'cocoa', 'c', 'iphone']"
Chicago area,"['json.net', 'c#', 'json', 'serialization', '.net', 'deserialization']"
"Mexico City, Mexico /Iași, Romania","['android', 'android-activity', 'java', 'android-studio', 'eclipse', 'android-intent']"
"Glasgow, United Kingdom","['java', 'linux', 'eclipse', 'oop', 'immutability', 'unit-testing']"
,"['c++', 'c++11', 'templates', 'stl', 'pointers', 'vector']"
"Philadelphia, PA, USA","['javascript', 'php', 'string', 'jquery', 'html', 'java']"
United States,"['delphi', 'batch-file', 'delphi-7', 'delphi-xe2', 'windows', 'sql']"
,"['r', 'dplyr', 'dataframe', 'data.table', 'ggplot2', 'tidyverse']"
,"['pandas', 'python', 'dataframe', 'hdf5', 'numpy', 'pytables']"
"Constanța, Romania","['firebase', 'android', 'google-cloud-firestore', 'java', 'firebase-realtime-database', 'google-cloud-platform']"
"Dallas, TX","['ruby-on-rails', 'ruby', 'ruby-on-rails-3', 'activerecord', 'ruby-on-rails-4', 'rspec']"
France,"['c', 'arrays', 'pointers', 'c++', 'string', 'algorithm']"
"Milan, Italy","['c++', 'c', 'python', 'windows', 'assembly', 'pointers']"
Finland,"['jquery', 'javascript', 'php', 'css', 'html', 'mysql']"
"Guelph, Canada","['git', 'github', 'markdown', 'python', 'heroku', 'django']"
"Charlotte, NC","['c#', '.net', 'linq', 'arrays', 'list', 'asp.net']"
Israel,"['mysql', 'php', 'html', 'javascript', 'jquery', 'css']"
,"['java', 'spring', 'spring-boot', 'junit', 'maven', 'mockito']"
"Prague, Czech Republic","['angularjs', 'angular-ui-router', 'javascript', 'nhibernate', 'typescript', 'c#']"
United States,"['c#', 'c++', 'c', 'string', 'arrays', 'ruby']"
"Moscow, Russia","['c#', 'sql', '.net', 'winforms', 'xml', 'database']"
"Athens, Georgia, United States","['ruby', 'javascript', 'jquery', 'ruby-on-rails', 'php', 'html']"
"Vancouver, Canada","['git', 'version-control', 'branch', 'github', 'git-branch', 'git-submodules']"
Germany,"['linux', 'objective-c', 'c', 'macos', 'ios', 'xcode']"
Poland,"['java', 'regex', 'arrays', 'string', 'java-8', 'split']"
"Lanesboro, Minnesota","['php', 'mysql', 'regex', 'javascript', 'sql', 'html']"
California,"['angularjs', 'javascript', 'angularjs-ng-repeat', 'angularjs-directive', 'angularjs-scope', 'html']"
,"['mysql', 'sql', 'php', 'database', 'rust', 'select']"
,"['git', 'objective-c', 'cocoa', 'nsmutablearray', 'iphone', 'swift']"
"Bremen, Germany","['wpf', 'c#', 'xaml', '.net', 'image', 'mvvm']"
,"['c#', '.net', 'asp.net', 'excel', 'vba', 'asp.net-mvc']"
Kepler-22b,"['google-sheets', 'google-sheets-formula', 'array-formulas', 'arrays', 'google-sheets-query', 'google-query-language']"
New Zealand,"['c#', 'ruby', 'ruby-on-rails', 'c++', '.net', 'wpf']"
"Mountain View, CA","['c#', '.net', 'sql-server', 'sql', 'asp.net-mvc', 'asp.net']"
"Omaha, NE","['javascript', 'node.js', 'express', 'jquery', 'json', 'arrays']"
Israel,"['vim', 'c', 'linux', 'assembly', 'perl', 'x86']"
,"['java', 'xml', 'xslt', 'grails', 'xpath', 'groovy']"
"Croatia, Europe","['oracle', 'sql', 'plsql', 'oracle-apex', 'oracle11g', 'oracle-sqldeveloper']"
Inside your git repo..,"['git', 'github', 'version-control', 'merge', 'bitbucket', 'kubernetes']"
Hyderabad - Vijayawada,"['java', 'javascript', 'jquery', 'string', 'arrays', 'html']"
"Wickham, Hampshire, UK","['objective-c', 'ios', 'xcode', 'macos', 'c++', 'iphone']"
Austria,"['gradle', 'java', 'groovy', 'spock', 'build.gradle', 'build']"
"Shanghai, China","['ios', 'ipad', 'xcode', 'objective-c', 'ios4', 'ios5']"
,"['python', 'java', 'user-interface', 'swing', 'c++', 'pandas']"
"Albuquerque, NM, United States","['visual-studio-code', 'vscode-settings', 'vscode-snippets', 'gulp', 'vscode-extensions', 'javascript']"
"Dublin, Ireland","['java', 'rest', 'jax-rs', 'http', 'jackson', 'json']"
"Belfast, United Kingdom","['c++', 'c', 'java', 'string', 'c++11', 'windows']"
"Paris, France","['r', 'ggplot2', 'plot', 'dataframe', 'matrix', 'regex']"
United States,"['python', 'django', 'django-models', 'pip', 'virtualenv', 'django-forms']"
Switzerland,"['bash', 'git', 'java', 'linux', 'shell', 'python']"
"Treviso, Province of Treviso, Italy","['css', 'javascript', 'html', 'jquery', 'css-selectors', 'regex']"
London,"['ios', 'objective-c', 'swift', 'iphone', 'core-data', 'restkit']"
Israel,"['css', 'html', 'flexbox', 'responsive-design', 'javascript', 'jquery']"
"Lund, Sweden","['java', 'c#', 'version-control', 'javascript', 'git', 'unit-testing']"
"Massachusetts, United States","['unity3d', 'c#', 'android', 'json', 'c++', 'ios']"
"London, United Kingdom","['python', 'git', 'scala', 'php', 'django', 'list']"
UK,"['python', 'list', 'python-3.x', 'numpy', 'string', 'dictionary']"
,"['ios', 'objective-c', 'iphone', 'swift', 'uitableview', 'xcode']"
"Shanghai, China","['c', 'lua', 'c++', 'python', 'string', 'ruby']"
,"['java', 'generics', 'objective-c', 'swift', 'haskell', 'ios']"
Israel,"['powershell', 'powershell-2.0', 'string', 'windows', 'arrays', 'powershell-3.0']"
"Barcelona, Spain","['swift', 'ios', 'android', 'iphone', 'in-app-purchase', 'objective-c']"
,"['python', 'django', 'r', 'django-models', 'numpy', 'xml']"
,"['ssl', 'java', 'security', 'https', 'certificate', 'openssl']"
"Prague, Czech Republic","['mysql', 'sql', 'sql-server', 'tsql', 'sql-server-2008', 'c#']"
,"['python', 'string', 'javascript', 'regex', 'ruby', 'php']"
"Dresden, Germany","['java', 'spring', 'spring-mvc', 'spring-security', 'hibernate', 'maven']"
,"['javascript', 'objective-c', 'iphone', 'css', 'html', 'cocoa-touch']"
"Lincoln, NE","['java', 'grails', 'javascript', 'groovy', 'jquery', 'backbone.js']"
"Seattle, WA, United States","['python', 'string', 'java', 'regex', 'javascript', 'django']"
France,"['angularjs', 'javascript', 'angular-ui-bootstrap', 'angular-ui', 'jquery', 'angular']"
"New York, NY, United States","['c#', 'html', '.net', 'css', 'jquery', 'javascript']"
,"['javascript', 'php', 'bash', 'c', 'java', 'c#']"
"Greater Perthshire, Scotland","['c#', 'asp.net', 'iis', '.net', 'iis-7', 'powershell']"
,"['java', 'regex', 'json', 'linux', 'string', 'file']"
"Spain, Barcelona","['ruby', 'elixir', 'ruby-on-rails', 'arrays', 'phoenix-framework', 'hash']"
"Arlington, VA","['javascript', 'python', 'django', 'java', 'google-app-engine', 'silverlight']"
"Nova, VA","['java', 'javascript', 'jquery', 'hibernate', 'spring', 'grails']"
"London, United Kingdom","['python', 'django', 'java', 'python-3.x', 'string', 'list']"
"Bellevue, WA","['f#', '.net', 'c#', 'functional-programming', 'visual-studio', 'wcf']"
"Bristol, UK","['ios', 'objective-c', 'iphone', 'xcode', 'uitableview', 'cocoa-touch']"
"Seattle, WA","['python', 'python-3.x', 'tkinter', 'csv', 'dictionary', 'json']"
"Manor, TX","['c', 'pointers', 'arrays', 'c++', 'string', 'function']"
"München, Deutschland","['python', 'machine-learning', 'keras', 'deep-learning', 'neural-network', 'python-3.x']"
Colorado,"['javascript', 'java', 'regex', 'string', 'html', 'security']"
USA / TR,"['perl', 'regex', 'html', 'c', 'arrays', 'windows']"
Netherlands,"['javascript', 'arrays', 'html', 'jquery', 'css', 'regex']"
"Copenhagen, Denmark","['c#', 'winforms', '.net', 'datagridview', 'windows-forms-designer', 'vb.net']"
"Union City, NJ, USA","['r', 'ggplot2', 'dataframe', 'regex', 'plot', 'matlab']"
"Ottawa, ON, Canada","['bash', 'linux', 'unix', 'macos', 'shell', 'scripting']"
"San Diego, CA","['python', 'flask', 'sqlalchemy', 'flask-sqlalchemy', 'jinja2', 'alembic']"
Berlin,"['javascript', 'google-maps-api-3', 'google-maps', 'jquery', 'html', 'php']"
"Oslo, Norway","['kubernetes', 'java', 'swing', 'kubectl', 'javascript', 'html']"
,"['javascript', 'jquery', 'node.js', 'html', 'css', 'json']"
,"['c', 'c++', 'linux', 'bison', 'gcc', 'assembly']"
"San Francisco, CA","['perl', 'shell', 'bash', 'arrays', 'linux', 'regex']"
"Kolkata, West Bengal, India","['ruby', 'ruby-on-rails', 'arrays', 'hash', 'ruby-on-rails-4', 'javascript']"
Australia,"['java', 'database', 'linux', 'language-agnostic', 'javascript', 'windows']"
,"['c', 'bash', 'c++', 'pointers', 'linux', 'shell']"
Canada,"['objective-c', 'cocoa', 'iphone', 'c++', 'c', 'excel']"
,"['r', 'data.table', 'ggplot2', 'dataframe', 'dplyr', 'reshape']"
United Kingdom,"['python', 'string', 'introspection', 'algorithm', 'dictionary', 'iterator']"
Serbia,"['javascript', 'css', 'html', 'arrays', 'flexbox', 'ecmascript-6']"
United Kingdom,"['c#', '.net', 'javascript', 'linq', 'asp.net', 'multithreading']"
"Victoria, Canada","['c#', 'asp.net', 'asp.net-mvc', '.net', 'javascript', 'jquery']"
Planet Earth,"['bash', 'linux', 'shell', 'unix', 'regex', 'awk']"
"Bergen, Norway","['haskell', 'functional-programming', 'types', 'monads', 'typeclass', 'list']"
Israel,"['android', 'java', 'bitmap', 'android-layout', 'android-intent', 'textview']"
"London, United Kingdom","['svg', 'html', 'javascript', 'css', 'd3.js', 'firefox']"
Denmark,"['c#', 'linq', 'python', '.net', 'asp.net', 'sql']"
Wisconsin,"['knockout.js', 'javascript', 'jquery', 'html', 'knockout-2.0', 'knockout-mapping-plugin']"
United States,"['c#', 'powershell', 'javascript', '.net', 'asp.net-mvc', 'asp.net']"
"Cupertino, CA","['rust', 'scala', 'java', 'haskell', 'akka-stream', 'clojure']"
"Brasilia, Brazil","['postgresql', 'sql', 'python', 'psycopg2', 'mysql', 'database']"
"Kansas City, MO, United States","['vue.js', 'javascript', 'vuejs2', 'vuejs3', 'typescript', 'polymer']"
"Seoul, South Korea","['javascript', 'html', 'canvas', 'css', 'google-chrome', 'svg']"
"London, Ontario, Canada","['javascript', 'jquery', 'dom', 'html', 'dom-events', 'internet-explorer']"
"Moldova, Chisinau","['java', 'java-8', 'java-stream', 'lambda', 'collections', 'multithreading']"
,"['java', 'rest', 'jsp', 'web-services', 'database', 'jakarta-ee']"
United States,"['java', 'multithreading', 'android', 'ormlite', 'concurrency', 'sqlite']"
Alaska,"['ffmpeg', 'video', 'audio', 'video-processing', 'linux', 'mp4']"
South Africa,"['c#', '.net', 'linq', 'generics', 'winforms', 'asp.net']"
"Bay Area, CA","['swift', 'ios', 'objective-c', 'ruby', 'iphone', 'xcode']"
"Nice, France","['ruby-on-rails', 'ruby', 'ruby-on-rails-3', 'rspec', 'gmaps4rails', 'activerecord']"
,"['bash', 'linux', 'shell', 'java', 'sh', 'unix']"
United Kingdom,"['c#', 'c++', '.net', 'java', 'c', 'javascript']"
Denmark,"['c#', '.net', 'multithreading', 'windbg', 'sos', 'visual-studio']"
"Riyadh, Saudi Arabia","['java', 'string', 'arrays', 'android', 'swing', 'user-interface']"
"New York, NY","['django', 'python', 'django-models', 'django-forms', 'django-views', 'django-templates']"
"Turku, Finland","['java', 'c++', 'unit-testing', 'c', 'junit', 'design-patterns']"
Israel,"['java', 'string', 'spring', 'eclipse', 'swing', 'multithreading']"
"Copenhagen, Denmark","['php', 'mysql', 'javascript', 'html', 'oop', 'ruby']"
Netherlands,"['php', 'css', 'html', 'mysql', 'sql', 'javascript']"
"Rochester, NY, United States","['java', 'php', 'c', 'design-patterns', 'c++', 'eclipse']"
,"['bash', 'macos', 'shell', 'linux', 'arrays', 'terminal']"
"Athens, Greece","['c#', 'task-parallel-library', 'sql-server', '.net-core', '.net', 'asp.net-core']"
"Calgary, AB, Canada","['ms-access', 'python', 'pyodbc', 'sql-server', 'sql', 'java']"
"Zürich, Switzerland","['java', 'javascript', 'c', 'arrays', 'string', 'design-patterns']"
"Fort Lauderdale, FL, United States","['docker', 'vagrant', 'go', 'linux', 'lxc', 'docker-compose']"
,"['c#', 'json', '.net', 'json.net', 'xml', 'linq']"
"Brooklyn, New York, United States","['javascript', 'regex', 'html', 'java', 'css', 'dom']"
,"['docker', 'kubernetes', 'docker-compose', 'kubernetes-helm', 'dockerfile', 'bash']"
"Indianapolis, IN","['c#', 'javascript', '.net', 'sql', 'asp.net', 'sql-server']"
"Treves, Rhineland-Palatinate, Germany","['java', 'eclipse', 'arrays', 'string', 'android', 'xml']"
United Kingdom,"['ruby-on-rails', 'ruby', 'javascript', 'activerecord', 'java', 'html']"
Australia,"['mysql', 'utf-8', 'javascript', 'php', 'html', 'http']"
,"['python', 'pyqt', 'pyqt4', 'qt', 'pyqt5', 'pyside']"
"Ramanthali, Kannur, Kerala, India","['javascript', 'jquery', 'html', 'arrays', 'css', 'regex']"
Japan,"['c#', 'sql', 'sql-server', 'mysql', '.net', 'sql-server-2008']"
"Amsterdam, The Netherlands","['postgresql', 'sql', 'database', 'mysql', 'plpgsql', 'php']"
,"['ios', 'cocoa-touch', 'objective-c', 'iphone', 'xcode', 'mapkit']"
"Moscow, Russia","['c#', '.net', 'asp.net', 'sql-server', 'sql', 'vb.net']"
Australia,"['c#', '.net', 'sql', 'nhibernate', 'asp.net', 'javascript']"
"Sydney, Australia","['r', 'dataframe', 'ggplot2', 'data.table', 'plyr', 'plot']"
United States,"['android', 'sql', 'sql-server', 'sql-server-2008', 'r', 'javascript']"
Israel,"['javascript', 'css', 'reactjs', 'jquery', 'html', 'dom']"
"Sydney, Australia","['android', 'python', 'git', 'objective-c', 'iphone', 'java-me']"
"Toronto, Ontario, Canada","['javascript', 'css', 'html', 'jquery', 'ajax', 'asp.net']"
"Athens, Greece and London, UK","['mysql', 'sql', 'sql-server', 'database', 'oracle', 'join']"
"London, United Kingdom","['python', 'python-3.x', 'python-2.7', 'angular', 'list', 'dictionary']"
,"['python', 'c++', 'list', 'arrays', 'python-3.x', 'string']"
"Kissimmee, Florida, United States","['ios', 'objective-c', 'swift', 'xcode', 'iphone', 'encryption']"
"Seattle, WA","['java', 'json', 'jackson', 'serialization', 'deserialization', 'xml']"
,"['linux', 'java', 'c', 'c++', 'c#', 'android']"
"San Francisco, CA, United States","['git', 'python', 'powershell', 'java', 'gradle', 'vim']"
United States,"['javascript', 'google-chrome-extension', 'jquery', 'google-chrome', 'html', 'node.js']"
Italy,"['c++', 'python', 'javascript', 'c', 'arrays', 'c++11']"
"Tel Aviv, Israel","['c#', '.net', 'async-await', 'task-parallel-library', 'asynchronous', 'mongodb']"
"Haifa, Palestine","['c++', 'c++11', 'cuda', 'c++17', 'c', 'cmake']"
WA,"['javascript', 'jquery', 'wpf', 'c#', 'asp.net', '.net']"
"Leiden, Netherlands","['python', 'c++', 'c', 'list', 'algorithm', 'rust']"
Germany,"['git', 'version-control', 'git-rebase', 'rebase', 'vim', 'perl']"
"Adelaide, Australia","['c#', 'linq', '.net', 'system.reactive', 'vb.net', 'multithreading']"
,"['haskell', 'functional-programming', 'types', 'monads', 'typeclass', 'list']"
Madrid (Spain),"['matlab', 'matrix', 'arrays', 'matlab-figure', 'vectorization', 'vector']"
Singapore,"['python', 'nltk', 'nlp', 'wordnet', 'string', 'pandas']"
Canada,"['python', 'linux', 'javascript', 'mysql', 'html', 'php']"
,"['xslt', 'xml', 'xslt-1.0', 'xpath', 'xslt-2.0', 'filemaker']"
,"['javascript', 'node.js', 'html', 'jquery', 'css', 'ios']"
"Stroudsburg, PA, United States","['c#', 'wpf', '.net', 'jquery', 'javascript', 'asp.net']"
Netherlands,"['spring', 'java', 'spring-boot', 'spring-mvc', 'hibernate', 'jpa']"
"Newcastle, United Kingdom","['c#', 'asp.net-mvc', 'entity-framework', 'asp.net', 'sql-server', '.net']"
"Berlin, Germany","['android', 'jenkins', 'jenkins-pipeline', 'jenkins-plugins', 'android-emulator', 'java']"
"Bratislava, Slovakia","['java', 'swing', 'jtable', 'jframe', 'user-interface', 'jpanel']"
Ireland,"['python', 'list', 'jquery', 'python-imaging-library', 'image', 'javascript']"
Amsterdam,"['c#', '.net', 'linq', 'list', 'reflection', 'generics']"
"Michelago NSW, Australia","['c', 'python', 'c++', 'linux', 'gcc', 'multithreading']"
United States,"['python', 'c', 'java', 'c++', 'unix', 'javascript']"
"Dublin, Ireland","['c#', '.net', 'linq', 'performance', 'asp.net', 'multithreading']"
Somewhere,"['javascript', 'html', 'regex', 'coldfusion', 'php', 'coldfusion-9']"
Germany,"['ssl', 'sockets', 'python', 'perl', 'https', 'tcp']"
Israel,"['c++', 'qtp', 'c++11', 'c#', 'vbscript', 'hp-uft']"
,"['bash', 'c', 'linux', 'c++', 'shell', 'cmake']"
"London, United Kingdom","['javascript', 'jquery', 'html', 'dom', 'regex', 'events']"
,"['c++', 'c', 'haskell', 'linux', 'c++11', 'templates']"
"San Francisco, CA, USA","['go', 'json', 'struct', 'http', 'websocket', 'slice']"
United Kingdom,"['eclipse', 'java', 'eclipse-plugin', 'eclipse-rcp', 'swt', 'jface']"
,"['google-chrome-extension', 'javascript', 'google-chrome', 'facebook', 'java', 'jquery']"
"Bologna, Italy","['c#', '.net', 'linq', 'string', 'regex', 'c++']"
"New York, NY","['javascript', 'c#', 'html', 'css', '.net', 'jquery']"
"Toronto, Canada","['java', 'arraylist', 'javascript', 'string', 'arrays', 'collections']"
"Mumbai, Maharashtra, India","['c#', 'flash', 'javascript', '.net', 'actionscript-3', 'actionscript']"
"Wellington, New Zealand","['c#', '.net', 'sql-server', 'sql', 'vb.net', 'winforms']"
Israel,"['matlab', 'deep-learning', 'pytorch', 'python', 'neural-network', 'caffe']"
India,"['android', 'java', 'android-layout', 'android-intent', 'listview', 'android-activity']"
"Poland, Częstochowa","['laravel', 'php', 'laravel-5', 'eloquent', 'laravel-4', 'laravel-5.2']"
"Richmond, VA","['html', 'css', 'c#', '.net', 'javascript', 'regex']"
"Philadelphia, PA","['spring-integration', 'spring', 'java', 'spring-boot', 'spring-kafka', 'spring-integration-dsl']"
Canada,"['python', 'list', 'string', 'python-3.x', 'python-2.7', 'loops']"
https://joranbeasley.net/,"['python', 'string', 'list', 'python-2.7', 'django', 'python-3.x']"
"Pittsburgh, PA","['java', 'collections', 'guava', 'generics', 'guice', 'dependency-injection']"
Basement,"['c++', 'c++11', 'templates', 'multithreading', 'c', 'vector']"
"Austin, TX, USA","['angularjs', 'javascript', 'angularjs-directive', 'rxjs', 'html', 'jquery']"
"San Francisco, CA","['python', 'iphone', 'objective-c', 'ios', 'ruby-on-rails', 'ruby']"
"Zurich, Switzerland","['visual-studio-code', 'vscode-settings', 'editor', 'configuration', 'regex', 'macos']"
"Boston, MA, USA","['java', 'c', 'c++', 'linux', 'mysql', 'php']"
,"['bash', 'python', 'shell', 'linux', 'awk', 'sed']"
"Boston, MA","['objective-c', 'cocoa', 'core-data', 'iphone', 'cocoa-touch', 'macos']"
,"['python', 'numpy', 'scipy', 'matplotlib', 'arrays', 'statistics']"
"New York, NY, USA","['c++', 'c++11', 'language-lawyer', 'templates', 'c++17', 'pointers']"
"San Jose, CA","['git', 'sql', 'postgresql', 'linux', 'sqlite', 'mysql']"
,"['python', 'c++', 'matlab', 'c', 'arrays', 'image-processing']"
,"['c#', 'linq', 'sql', '.net', 'sql-server', 'linq-to-sql']"
"Edinburgh, United Kingdom","['c++', 'c++11', 'pointers', 'templates', 'stl', 'c']"
United Kingdom,"['java', 'jsf', 'xml', 'unicode', 'utf-8', 'javascript']"
"Bremen, Germany","['ruby', 'ruby-on-rails', 'arrays', 'ruby-on-rails-3', 'hash', 'string']"
"Melbourne, Australia","['mapbox-gl-js', 'javascript', 'mapbox', 'git', 'mapbox-gl', 'geojson']"
"Kuala Lumpur, Malaysia","['javascript', 'node.js', 'regex', 'html', 'tcl', 'jquery']"
,"['c++', 'c', 'stl', 'templates', 'string', 'apache-flex']"
"Buffalo, NY","['r', 'dataframe', 'ggplot2', 'package', 'regex', 'string']"
"Melbourne, Australia","['ruby-on-rails', 'ruby-on-rails-3', 'ruby', 'routes', 'activerecord', 'rspec']"
"Oakland, CA, United States","['java', 'python', 'jquery', 'javascript', 'django', 'django-templates']"
Poland,"['postgresql', 'sql', 'json', 'jsonb', 'arrays', 'plpgsql']"
"Florida, United States","['jquery', 'javascript', 'perl', 'php', 'html', 'sql']"
"Milan, Italy","['ios', 'objective-c', 'scala', 'swift', 'iphone', 'ios7']"
,"['java', 'swing', 'string', 'android', 'regex', 'arrays']"
Michigan,"['c#', 'java', '.net', 'asp.net', 'linq', 'vb.net']"
United States,"['ruby-on-rails', 'reactjs', 'ruby', 'ruby-on-rails-3', 'jquery', 'css']"
,"['d3.js', 'javascript', 'svg', 'nvd3.js', 'jquery', 'force-layout']"
"Wales, United Kingdom","['python', 'php', 'html', 'regex', 'javascript', 'mysql']"
,"['python', 'django', 'mysql', 'regex', 'python-3.x', 'sql']"
,"['css', 'html', 'flexbox', 'javascript', 'svg', 'jquery']"
Romania,"['javascript', 'jquery', 'html', 'node.js', 'c#', 'github']"
"Raleigh, NC","['javascript', 'java', 'jquery', 'html', 'php', 'css']"
"Maryland, United States","['javascript', 'd3.js', 'python', 'jquery', 'highcharts', 'flot']"
United Kingdom,"['c#', '.net', 'powershell', 'xml', 'visual-studio', 'windows']"
"Saint Charles, MO, United States","['mysql', 'sql', 'php', 'database', 'sql-server', 'join']"
"Frankfurt, Germany","['c#', '.net', 'linq', 'cryptography', 'security', 'c++']"
"Coimbra, Portugal","['c', 'pointers', 'c++', 'arrays', 'string', 'gcc']"
"Erie, CO","['c++', 'c++11', 'templates', 'unique-ptr', 'c', 'boost']"
Australia,"['ios', 'swift', 'objective-c', 'xcode', 'uitableview', 'core-bluetooth']"
"Ghent, Oost-Vlaanderen, Belgium","['r', 'dataframe', 'plot', 'function', 'package', 'ggplot2']"
"Sofia, Bulgaria","['javascript', 'jquery', 'kendo-ui', 'asp.net', 'c#', 'telerik']"
"Mountain View, CA","['dart', 'flutter', 'dart-io', 'dart-webui', 'dart-polymer', 'html']"
"San Francisco, CA, United States","['flutter', 'dart', 'flutter-layout', 'android', 'navigation', 'ios']"
Malta,"['javascript', 'jquery', 'c#', 'asp.net', 'c', '.net']"
"Gothenburg, Sweden","['javascript', 'jquery', 'reactjs', 'html', 'arrays', 'css']"
"St. Thomas, Virgin Islands","['php', 'javascript', 'jquery', 'arrays', 'symfony', 'html']"
New Zealand,"['sql', 'sql-server', 'mysql', 'tsql', 'sql-server-2008', 'sql-server-2005']"
United Kingdom,"['clojure', 'java', 'lisp', 'performance', 'functional-programming', 'algorithm']"
"Boston, MA","['jquery', 'javascript', 'php', 'regex', 'ajax', 'html']"
"Pennsylvania, United States","['linux', 'shell', 'c++', 'ruby', 'c', 'mysql']"
United States,"['svn', 'python', 'elixir', 'flutter', 'riverpod', 'vim']"
"Warsaw, Poland","['node.js', 'javascript', 'jquery', 'express', 'npm', 'html']"
"Amsterdam, Netherlands","['python', 'pandas', 'sql', 'postgresql', 'sql-server', 'tsql']"
Ohio,"['html', 'c#', 'sql-server', 'sql', 'javascript', 'php']"
"Sebastopol, CA","['ios', 'objective-c', 'autolayout', 'swift', 'xcode', 'uitableview']"
Sweden,"['delphi', 'delphi-7', 'delphi-2010', 'windows', 'string', 'winapi']"
"Victoria, Canada","['ruby', 'arrays', 'regex', 'hash', 'ruby-on-rails', 'string']"
,"['svn', 'bash', 'perl', 'ant', 'shell', 'tortoisesvn']"
,"['python', 'c++', 'c', 'algorithm', 'assembly', 'x86']"
,"['flutter', 'dart', 'firebase', 'flutter-layout', 'google-cloud-firestore', 'android']"
"Somerville, MA, United States","['objective-c', 'ios', 'c++', 'xcode', 'iphone', 'cocoa']"
,"['linux', 'android', 'c', 'git', 'python', 'c++']"
"Beloit, WI, United States","['javascript', 'jquery', 'angularjs', 'html', 'arrays', 'json']"
"Milwaukee, WI","['jquery', 'sql-server', 'sql', 'css', 'c#', 'javascript']"
"Wageningen, Netherlands","['c#', 'entity-framework', 'linq', 'ef-code-first', 'sql-server', '.net']"
Sweden,"['reactjs', 'javascript', 'react-hooks', 'gmail-api', 'mobx', 'react-native']"
🛸,"['python', 'python-3.x', 'python-2.7', 'list', 'numpy', 'regex']"
"Austin, TX, USA","['python', 'numpy', 'python-3.x', 'matplotlib', 'arrays', 'list']"
Latvia,"['c#', '.net', 'html', 'css', 'javascript', 'php']"
"Copenhagen, Denmark","['git', 'logging', 'git-svn', 'jquery', 'javascript', 'cucumber']"
England,"['spring-boot', 'java', 'spring', 'spring-mvc', 'maven', 'gradle']"
"Redmond, WA","['c++', 'c', 'stl', 'c#', 'visual-c++', '.net']"
"London, UK","['c#', 'sql', 'sql-server', 'asp.net', '.net', 'mysql']"
Germany,"['python', 'dictionary', 'list', 'string', 'class', 'sorting']"
"Berlin, Germany","['jestjs', 'javascript', 'unit-testing', 'jasmine', 'reactjs', 'enzyme']"
"Copenhagen, Denmark","['c#', '.net', 'wpf', 'c++', 'xaml', 'linq']"
Earth,"['c', 'pointers', 'arrays', 'c++', 'string', 'struct']"
"Denver, CO, United States","['java', 'intellij-idea', 'python', 'git', 'arrays', 'string']"
"Hanover, NH, USA","['floating-point', 'c', 'c++', 'assembly', 'x86', 'math']"
"Akron, OH","['xml', 'xsd', 'xpath', 'xslt', 'xml-validation', 'html']"
Slovenia,"['html', 'css', 'javascript', 'jquery', 'asp.net-mvc', 'c#']"
"Salem, Tamil Nadu, India","['jquery', 'ajax', 'html', 'mysql', 'css', 'hyperlink']"
,"['node.js', 'javascript', 'express', 'json', 'npm', 'ssh']"
Greece,"['java', 'jquery', 'android', 'javascript', 'python', 'amazon-web-services']"
,"['haskell', 'html', 'css', 'javascript', 'c++', 'c']"
Poolside,"['javascript', 'node.js', 'css', 'html', 'jquery', 'python']"
"South Tyrol, Italy","['asp.net', '.net', 'c#', 'sql-server', 'sql', 'iis']"
"Toronto, Canada","['matlab', 'image-processing', 'python', 'image', 'opencv', 'matrix']"
